event,orig_id,time_value,latitude_value,longitude_value,depth_value,magnitude_value,magnitude_type
igepn2012acvi,2610,   2012-01-02 13:02:44.000,-1.519048,-80.999382,10.0,3.8,      MLv
igepn2012acvi,2610,   2012-01-02 13:02:44.000,-1.519048,-80.999382,10.0,3.8,        M
igepn2012acxo,2611,   2012-01-02 14:10:00.000,-1.291955,-80.529152,12.0,3.8,      MLv
igepn2012acxo,2611,   2012-01-02 14:10:00.000,-1.291955,-80.529152,12.0,3.8,        M
igepn2012ahkn,2643,   2012-01-05 01:18:17.000,-1.822281,-81.669304,5.0,3.8,      MLv
igepn2012ahkn,2643,   2012-01-05 01:18:17.000,-1.822281,-81.669304,5.0,3.8,        M
igepn2012ahzg,2647,   2012-01-05 08:43:48.000,-1.65155,-81.5121,10.0,3.9,      MLv
igepn2012ahzg,2647,   2012-01-05 08:43:48.000,-1.65155,-81.5121,10.0,3.9,        M
igepn2012aigm,2649,   2012-01-05 12:22:12.000,0.8863,-78.776039,1.17,3.5,      MLv
igepn2012aigm,2649,   2012-01-05 12:22:12.000,0.8863,-78.776039,1.17,3.5,        M
igepn2012ajib,2651,   2012-01-06 02:16:44.000,-1.675611,-81.5979,10.0,3.8,      MLv
igepn2012ajib,2651,   2012-01-06 02:16:44.000,-1.675611,-81.5979,10.0,3.8,        M
igepn2012akby,2660,   2012-01-06 12:20:20.000,-0.787565,-79.611374,12.83,3.9,      MLv
igepn2012akby,2660,   2012-01-06 12:20:20.000,-0.787565,-79.611374,12.83,3.9,        M
igepn2012aohm,2691,   2012-01-08 19:40:29.000,-1.817206,-76.259605,31.16,3.7,      MLv
igepn2012aohm,2691,   2012-01-08 19:40:29.000,-1.817206,-76.259605,31.16,3.7,        M
igepn2012arvk,2715,   2012-01-10 18:07:09.000,-0.832822,-80.45047,4.85,5.0,      MLv
igepn2012arvk,2715,   2012-01-10 18:07:09.000,-0.832822,-80.45047,4.85,4.9,       mb
igepn2012arvk,2715,   2012-01-10 18:07:09.000,-0.832822,-80.45047,4.85,5.2,       mB
igepn2012arvk,2715,   2012-01-10 18:07:09.000,-0.832822,-80.45047,4.85,4.6,   Mw(mB)
igepn2012arvk,2715,   2012-01-10 18:07:09.000,-0.832822,-80.45047,4.85,4.8,        M
igepn2012arvk,2715,   2012-01-10 18:07:09.000,-0.832822,-80.45047,4.85,5.0,      MLv
igepn2012arvk,2715,   2012-01-10 18:07:09.000,-0.832822,-80.45047,4.85,5.2,       mB
igepn2012arvk,2715,   2012-01-10 18:07:09.000,-0.832822,-80.45047,4.85,4.6,   Mw(mB)
igepn2012arvk,2715,   2012-01-10 18:07:09.000,-0.832822,-80.45047,4.85,4.9,       mb
igepn2012asax,2718,   2012-01-10 20:54:32.000,0.108969,-77.42202,5.15,3.7,      MLv
igepn2012asax,2718,   2012-01-10 20:54:32.000,0.108969,-77.42202,5.15,3.7,        M
igepn2012auqj,2733,   2012-01-12 06:58:55.000,0.622367,-80.110153,6.34,4.4,      MLv
igepn2012auqj,2733,   2012-01-12 06:58:55.000,0.622367,-80.110153,6.34,4.4,        M
igepn2012axmp,2748,   2012-01-13 20:29:41.000,0.789894,-80.186165,16.77,3.8,      MLv
igepn2012axmp,2748,   2012-01-13 20:29:41.000,0.789894,-80.186165,16.77,3.8,        M
igepn2012bafq,2766,   2012-01-15 08:22:50.000,-1.734162,-77.876938,12.0,3.6,      MLv
igepn2012bafq,2766,   2012-01-15 08:22:50.000,-1.734162,-77.876938,12.0,3.6,        M
igepn2012bbjo,2772,   2012-01-15 23:29:17.000,-2.270808,-81.35601,22.0,4.8,      MLv
igepn2012bbjo,2772,   2012-01-15 23:29:17.000,-2.270808,-81.35601,22.0,4.8,        M
igepn2012bcib,2780,   2012-01-16 11:53:13.000,-2.730975,-79.124794,8.9,4.2,      MLv
igepn2012bcib,2780,   2012-01-16 11:53:13.000,-2.730975,-79.124794,8.9,4.2,        M
igepn2012bhql,2831,   2012-01-19 09:47:44.000,1.030369,-78.961441,12.0,3.6,      MLv
igepn2012bhql,2831,   2012-01-19 09:47:44.000,1.030369,-78.961441,12.0,3.6,        M
igepn2012bhrl,2832,   2012-01-19 10:18:02.000,-2.684887,-82.864136,30.25,5.5,      MLv
igepn2012bhrl,2832,   2012-01-19 10:18:02.000,-2.684887,-82.864136,30.25,5.6,       mb
igepn2012bhrl,2832,   2012-01-19 10:18:02.000,-2.684887,-82.864136,30.25,5.5,       mB
igepn2012bhrl,2832,   2012-01-19 10:18:02.000,-2.684887,-82.864136,30.25,5.0,   Mw(mB)
igepn2012bhrl,2832,   2012-01-19 10:18:02.000,-2.684887,-82.864136,30.25,5.6,      Mwp
igepn2012bhrl,2832,   2012-01-19 10:18:02.000,-2.684887,-82.864136,30.25,5.4,  Mw(Mwp)
igepn2012bhrl,2832,   2012-01-19 10:18:02.000,-2.684887,-82.864136,30.25,5.3,        M
igepn2012bhrl,2832,   2012-01-19 10:18:02.000,-2.684887,-82.864136,30.25,5.5,      MLv
igepn2012bhrl,2832,   2012-01-19 10:18:02.000,-2.684887,-82.864136,30.25,5.6,      Mwp
igepn2012bhrl,2832,   2012-01-19 10:18:02.000,-2.684887,-82.864136,30.25,5.4,  Mw(Mwp)
igepn2012bhrl,2832,   2012-01-19 10:18:02.000,-2.684887,-82.864136,30.25,5.5,       mB
igepn2012bhrl,2832,   2012-01-19 10:18:02.000,-2.684887,-82.864136,30.25,5.0,   Mw(mB)
